,Provincia,Edad Aprox.,Motivo Desaparción,Situación Actual,Sexo
3590,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3591,1,8,EXTRAVIADA,ENCONTRADO,HOMBRE
3592,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3593,1,3,EXTRAVIADA,ENCONTRADO,HOMBRE
3594,13,54,EXTRAVIADA,ENCONTRADO,HOMBRE
3595,1,5,EXTRAVIADA,ENCONTRADO,HOMBRE
3596,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3597,4,40,EXTRAVIADA,ENCONTRADO,HOMBRE
3598,4,44,EXTRAVIADA,ENCONTRADO,HOMBRE
3599,1,14,EXTRAVIADA,ENCONTRADO,MUJER
3600,4,56,EXTRAVIADA,ENCONTRADO,HOMBRE
3601,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3602,4,10,EXTRAVIADA,ENCONTRADO,MUJER
3603,4,79,EXTRAVIADA,ENCONTRADO,HOMBRE
3604,1,5,EXTRAVIADA,ENCONTRADO,HOMBRE
3605,6,57,EXTRAVIADA,ENCONTRADO,HOMBRE
3606,1,6,EXTRAVIADA,ENCONTRADO,HOMBRE
3607,1,26,EXTRAVIADA,ENCONTRADO,HOMBRE
3608,1,6,EXTRAVIADA,ENCONTRADO,HOMBRE
3609,1,4,EXTRAVIADA,ENCONTRADO,HOMBRE
3610,4,43,EXTRAVIADA,ENCONTRADO,HOMBRE
3611,4,44,EXTRAVIADA,ENCONTRADO,HOMBRE
3612,4,42,EXTRAVIADA,ENCONTRADO,HOMBRE
3613,1,24,EXTRAVIADA,ENCONTRADO,HOMBRE
3614,4,51,EXTRAVIADA,ENCONTRADO,HOMBRE
3615,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3616,1,5,EXTRAVIADA,ENCONTRADO,HOMBRE
3617,4,44,EXTRAVIADA,ENCONTRADO,HOMBRE
3618,4,81,EXTRAVIADA,ENCONTRADO,HOMBRE
3619,13,55,EXTRAVIADA,ENCONTRADO,HOMBRE
3620,4,49,EXTRAVIADA,ENCONTRADO,HOMBRE
3621,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3622,4,54,EXTRAVIADA,ENCONTRADO,HOMBRE
3623,4,77,EXTRAVIADA,ENCONTRADO,HOMBRE
3624,5,13,EXTRAVIADA,ENCONTRADO,MUJER
3625,1,6,EXTRAVIADA,ENCONTRADO,HOMBRE
3626,13,44,EXTRAVIADA,ENCONTRADO,HOMBRE
3627,4,77,EXTRAVIADA,ENCONTRADO,HOMBRE
3628,1,8,EXTRAVIADA,ENCONTRADO,HOMBRE
3629,4,41,EXTRAVIADA,ENCONTRADO,HOMBRE
3630,1,12,EXTRAVIADA,ENCONTRADO,MUJER
3631,4,13,EXTRAVIADA,ENCONTRADO,MUJER
3632,4,30,EXTRAVIADA,ENCONTRADO,HOMBRE
3633,4,28,EXTRAVIADA,ENCONTRADO,HOMBRE
3634,1,84,EXTRAVIADA,ENCONTRADO,HOMBRE
3635,4,37,EXTRAVIADA,ENCONTRADO,HOMBRE
3636,6,68,EXTRAVIADA,ENCONTRADO,HOMBRE
3637,1,9,EXTRAVIADA,ENCONTRADO,HOMBRE
3638,1,77,EXTRAVIADA,ENCONTRADO,HOMBRE
3639,1,79,EXTRAVIADA,ENCONTRADO,HOMBRE
3640,4,14,EXTRAVIADA,ENCONTRADO,MUJER
3641,6,58,EXTRAVIADA,ENCONTRADO,HOMBRE
3642,15,24,EXTRAVIADA,ENCONTRADO,HOMBRE
3643,4,77,EXTRAVIADA,ENCONTRADO,HOMBRE
3644,1,61,EXTRAVIADA,ENCONTRADO,HOMBRE
3645,6,69,EXTRAVIADA,ENCONTRADO,HOMBRE
3646,4,56,EXTRAVIADA,ENCONTRADO,HOMBRE
3647,4,15,EXTRAVIADA,ENCONTRADO,MUJER
3648,4,12,EXTRAVIADA,ENCONTRADO,MUJER
3649,4,69,EXTRAVIADA,ENCONTRADO,HOMBRE
3650,1,11,EXTRAVIADA,ENCONTRADO,HOMBRE
3651,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3652,1,11,EXTRAVIADA,ENCONTRADO,MUJER
3653,4,43,EXTRAVIADA,ENCONTRADO,HOMBRE
3654,6,67,EXTRAVIADA,ENCONTRADO,HOMBRE
3655,1,11,EXTRAVIADA,ENCONTRADO,HOMBRE
3656,4,50,EXTRAVIADA,ENCONTRADO,HOMBRE
3657,4,77,EXTRAVIADA,ENCONTRADO,HOMBRE
3658,6,68,EXTRAVIADA,ENCONTRADO,HOMBRE
3659,1,84,EXTRAVIADA,ENCONTRADO,HOMBRE
3660,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3661,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3662,4,38,EXTRAVIADA,ENCONTRADO,HOMBRE
3663,1,6,EXTRAVIADA,ENCONTRADO,HOMBRE
3664,15,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3665,1,6,EXTRAVIADA,ENCONTRADO,HOMBRE
3666,4,75,EXTRAVIADA,ENCONTRADO,HOMBRE
3667,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3668,1,3,EXTRAVIADA,ENCONTRADO,HOMBRE
3669,1,6,EXTRAVIADA,ENCONTRADO,HOMBRE
3670,6,77,EXTRAVIADA,ENCONTRADO,HOMBRE
3671,4,23,EXTRAVIADA,ENCONTRADO,HOMBRE
3672,1,26,EXTRAVIADA,ENCONTRADO,HOMBRE
3673,6,82,EXTRAVIADA,ENCONTRADO,HOMBRE
3674,5,12,EXTRAVIADA,ENCONTRADO,MUJER
3675,6,76,EXTRAVIADA,ENCONTRADO,HOMBRE
3676,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3677,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3678,4,40,EXTRAVIADA,ENCONTRADO,HOMBRE
3679,1,26,EXTRAVIADA,ENCONTRADO,HOMBRE
3680,5,16,EXTRAVIADA,ENCONTRADO,MUJER
3681,4,42,EXTRAVIADA,ENCONTRADO,HOMBRE
3682,4,16,EXTRAVIADA,ENCONTRADO,MUJER
3683,4,33,EXTRAVIADA,ENCONTRADO,HOMBRE
3684,13,45,EXTRAVIADA,ENCONTRADO,HOMBRE
3685,1,7,EXTRAVIADA,ENCONTRADO,HOMBRE
3686,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3687,4,12,EXTRAVIADA,ENCONTRADO,MUJER
3688,4,51,EXTRAVIADA,ENCONTRADO,HOMBRE
3689,4,12,EXTRAVIADA,ENCONTRADO,MUJER
3690,1,12,EXTRAVIADA,ENCONTRADO,MUJER
3691,1,79,EXTRAVIADA,ENCONTRADO,HOMBRE
3692,13,50,EXTRAVIADA,ENCONTRADO,HOMBRE
3693,4,30,EXTRAVIADA,ENCONTRADO,HOMBRE
3694,1,12,EXTRAVIADA,ENCONTRADO,HOMBRE
3695,1,2,EXTRAVIADA,ENCONTRADO,MUJER
3696,4,31,EXTRAVIADA,ENCONTRADO,HOMBRE
3697,4,42,EXTRAVIADA,ENCONTRADO,HOMBRE
3698,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3699,13,57,EXTRAVIADA,ENCONTRADO,HOMBRE
3700,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3701,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3702,1,57,EXTRAVIADA,ENCONTRADO,HOMBRE
3703,1,79,EXTRAVIADA,ENCONTRADO,HOMBRE
3704,4,12,EXTRAVIADA,ENCONTRADO,HOMBRE
3705,4,42,EXTRAVIADA,ENCONTRADO,HOMBRE
3706,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3707,4,15,EXTRAVIADA,ENCONTRADO,MUJER
3708,6,73,EXTRAVIADA,ENCONTRADO,HOMBRE
3709,1,8,EXTRAVIADA,ENCONTRADO,HOMBRE
3710,1,6,EXTRAVIADA,ENCONTRADO,HOMBRE
3711,1,26,EXTRAVIADA,ENCONTRADO,HOMBRE
3712,4,54,EXTRAVIADA,ENCONTRADO,HOMBRE
3713,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3714,4,65,EXTRAVIADA,ENCONTRADO,HOMBRE
3715,1,11,EXTRAVIADA,ENCONTRADO,MUJER
3716,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3717,4,79,EXTRAVIADA,ENCONTRADO,HOMBRE
3718,4,27,EXTRAVIADA,ENCONTRADO,HOMBRE
3719,1,7,EXTRAVIADA,ENCONTRADO,HOMBRE
3720,4,58,EXTRAVIADA,ENCONTRADO,HOMBRE
3721,1,27,EXTRAVIADA,ENCONTRADO,HOMBRE
3722,4,13,EXTRAVIADA,ENCONTRADO,MUJER
3723,4,48,EXTRAVIADA,ENCONTRADO,HOMBRE
3724,4,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3725,15,24,EXTRAVIADA,ENCONTRADO,HOMBRE
3726,6,73,EXTRAVIADA,ENCONTRADO,HOMBRE
3727,4,82,EXTRAVIADA,ENCONTRADO,HOMBRE
3728,1,6,EXTRAVIADA,ENCONTRADO,HOMBRE
3729,6,57,EXTRAVIADA,ENCONTRADO,HOMBRE
3730,4,51,EXTRAVIADA,ENCONTRADO,HOMBRE
3731,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3732,4,76,EXTRAVIADA,ENCONTRADO,HOMBRE
3733,4,13,EXTRAVIADA,ENCONTRADO,MUJER
3734,4,12,EXTRAVIADA,ENCONTRADO,MUJER
3735,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3736,4,42,EXTRAVIADA,ENCONTRADO,HOMBRE
3737,4,77,EXTRAVIADA,ENCONTRADO,HOMBRE
3738,1,8,EXTRAVIADA,ENCONTRADO,HOMBRE
3739,4,82,EXTRAVIADA,ENCONTRADO,HOMBRE
3740,1,11,EXTRAVIADA,ENCONTRADO,HOMBRE
3741,13,51,EXTRAVIADA,ENCONTRADO,HOMBRE
3742,4,41,EXTRAVIADA,ENCONTRADO,HOMBRE
3743,1,23,EXTRAVIADA,ENCONTRADO,HOMBRE
3744,4,41,EXTRAVIADA,ENCONTRADO,HOMBRE
3745,1,91,EXTRAVIADA,ENCONTRADO,HOMBRE
3746,1,23,EXTRAVIADA,ENCONTRADO,HOMBRE
3747,4,77,EXTRAVIADA,ENCONTRADO,HOMBRE
3748,4,82,EXTRAVIADA,ENCONTRADO,HOMBRE
3749,6,74,EXTRAVIADA,ENCONTRADO,HOMBRE
3750,1,7,EXTRAVIADA,ENCONTRADO,HOMBRE
3751,4,52,EXTRAVIADA,ENCONTRADO,HOMBRE
3752,4,50,EXTRAVIADA,ENCONTRADO,HOMBRE
3753,1,6,EXTRAVIADA,ENCONTRADO,HOMBRE
3754,4,12,EXTRAVIADA,ENCONTRADO,MUJER
3755,1,7,EXTRAVIADA,ENCONTRADO,HOMBRE
3756,4,38,EXTRAVIADA,ENCONTRADO,HOMBRE
3757,4,55,EXTRAVIADA,ENCONTRADO,HOMBRE
3758,5,13,EXTRAVIADA,ENCONTRADO,MUJER
3759,1,11,EXTRAVIADA,ENCONTRADO,HOMBRE
3760,4,47,EXTRAVIADA,ENCONTRADO,HOMBRE
3761,4,79,EXTRAVIADA,ENCONTRADO,HOMBRE
3762,1,26,EXTRAVIADA,ENCONTRADO,HOMBRE
3763,4,44,EXTRAVIADA,ENCONTRADO,HOMBRE
3764,1,92,EXTRAVIADA,ENCONTRADO,HOMBRE
3765,6,57,EXTRAVIADA,ENCONTRADO,HOMBRE
3766,4,76,EXTRAVIADA,ENCONTRADO,HOMBRE
3767,4,42,EXTRAVIADA,ENCONTRADO,HOMBRE
3768,4,30,EXTRAVIADA,ENCONTRADO,HOMBRE
3769,4,31,EXTRAVIADA,ENCONTRADO,HOMBRE
3770,1,5,EXTRAVIADA,ENCONTRADO,HOMBRE
3771,4,26,EXTRAVIADA,ENCONTRADO,HOMBRE
3772,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3773,4,44,EXTRAVIADA,ENCONTRADO,HOMBRE
3774,1,12,EXTRAVIADA,ENCONTRADO,HOMBRE
3775,1,88,EXTRAVIADA,ENCONTRADO,HOMBRE
3776,1,7,EXTRAVIADA,ENCONTRADO,HOMBRE
3777,1,5,EXTRAVIADA,ENCONTRADO,HOMBRE
3778,6,67,EXTRAVIADA,ENCONTRADO,HOMBRE
3779,5,13,EXTRAVIADA,ENCONTRADO,MUJER
3780,4,30,EXTRAVIADA,ENCONTRADO,HOMBRE
3781,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3782,4,46,EXTRAVIADA,ENCONTRADO,HOMBRE
3783,1,93,EXTRAVIADA,ENCONTRADO,HOMBRE
3784,4,27,EXTRAVIADA,ENCONTRADO,HOMBRE
3785,4,30,EXTRAVIADA,ENCONTRADO,HOMBRE
3786,4,13,EXTRAVIADA,ENCONTRADO,MUJER
3787,4,45,EXTRAVIADA,ENCONTRADO,HOMBRE
3788,4,16,EXTRAVIADA,ENCONTRADO,MUJER
3789,4,31,EXTRAVIADA,ENCONTRADO,HOMBRE
3790,4,51,EXTRAVIADA,ENCONTRADO,HOMBRE
3791,4,70,EXTRAVIADA,ENCONTRADO,HOMBRE
3792,4,55,EXTRAVIADA,ENCONTRADO,HOMBRE
3793,4,14,EXTRAVIADA,ENCONTRADO,MUJER
3794,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3795,1,23,EXTRAVIADA,ENCONTRADO,HOMBRE
3796,1,14,EXTRAVIADA,ENCONTRADO,MUJER
3797,1,24,EXTRAVIADA,ENCONTRADO,HOMBRE
3798,4,27,EXTRAVIADA,ENCONTRADO,HOMBRE
3799,1,7,EXTRAVIADA,ENCONTRADO,HOMBRE
3800,1,6,EXTRAVIADA,ENCONTRADO,HOMBRE
3801,1,79,EXTRAVIADA,ENCONTRADO,HOMBRE
3802,5,14,EXTRAVIADA,ENCONTRADO,MUJER
3803,4,42,EXTRAVIADA,ENCONTRADO,HOMBRE
3804,4,12,EXTRAVIADA,ENCONTRADO,MUJER
3805,4,75,EXTRAVIADA,ENCONTRADO,HOMBRE
3806,5,13,EXTRAVIADA,ENCONTRADO,MUJER
3807,4,56,EXTRAVIADA,ENCONTRADO,HOMBRE
3808,1,6,EXTRAVIADA,ENCONTRADO,HOMBRE
3809,1,13,EXTRAVIADA,ENCONTRADO,MUJER
3810,4,77,EXTRAVIADA,ENCONTRADO,HOMBRE
3811,1,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3812,1,89,EXTRAVIADA,ENCONTRADO,HOMBRE
3813,4,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3814,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3815,4,42,EXTRAVIADA,ENCONTRADO,HOMBRE
3816,4,44,EXTRAVIADA,ENCONTRADO,HOMBRE
3817,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3818,1,5,EXTRAVIADA,ENCONTRADO,HOMBRE
3819,4,58,EXTRAVIADA,ENCONTRADO,HOMBRE
3820,4,77,EXTRAVIADA,ENCONTRADO,HOMBRE
3821,4,41,EXTRAVIADA,ENCONTRADO,HOMBRE
3822,22,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3823,1,11,EXTRAVIADA,ENCONTRADO,HOMBRE
3824,4,13,EXTRAVIADA,ENCONTRADO,MUJER
3825,6,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3826,1,26,EXTRAVIADA,ENCONTRADO,HOMBRE
3827,1,6,EXTRAVIADA,ENCONTRADO,HOMBRE
3828,4,80,EXTRAVIADA,ENCONTRADO,HOMBRE
3829,4,43,EXTRAVIADA,ENCONTRADO,HOMBRE
3830,1,6,EXTRAVIADA,ENCONTRADO,MUJER
3831,4,31,EXTRAVIADA,ENCONTRADO,HOMBRE
3832,1,4,EXTRAVIADA,ENCONTRADO,HOMBRE
3833,4,42,EXTRAVIADA,ENCONTRADO,HOMBRE
3834,6,72,EXTRAVIADA,ENCONTRADO,HOMBRE
3835,1,59,EXTRAVIADA,ENCONTRADO,HOMBRE
3836,4,46,EXTRAVIADA,ENCONTRADO,HOMBRE
3837,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3838,1,7,EXTRAVIADA,ENCONTRADO,HOMBRE
3839,1,7,EXTRAVIADA,ENCONTRADO,HOMBRE
3840,22,77,EXTRAVIADA,ENCONTRADO,HOMBRE
3841,4,42,EXTRAVIADA,ENCONTRADO,HOMBRE
3842,4,79,EXTRAVIADA,ENCONTRADO,HOMBRE
3843,4,59,EXTRAVIADA,ENCONTRADO,HOMBRE
3844,1,27,EXTRAVIADA,ENCONTRADO,HOMBRE
3845,6,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3846,4,40,EXTRAVIADA,ENCONTRADO,HOMBRE
3847,4,46,EXTRAVIADA,ENCONTRADO,HOMBRE
3848,4,36,EXTRAVIADA,ENCONTRADO,HOMBRE
3849,1,5,EXTRAVIADA,ENCONTRADO,HOMBRE
3850,4,51,EXTRAVIADA,ENCONTRADO,HOMBRE
3851,1,28,EXTRAVIADA,ENCONTRADO,HOMBRE
3852,4,51,EXTRAVIADA,ENCONTRADO,HOMBRE
3853,4,81,EXTRAVIADA,ENCONTRADO,HOMBRE
3854,13,49,EXTRAVIADA,ENCONTRADO,HOMBRE
3855,4,44,EXTRAVIADA,ENCONTRADO,HOMBRE
3856,4,42,EXTRAVIADA,ENCONTRADO,HOMBRE
3857,1,12,EXTRAVIADA,ENCONTRADO,MUJER
3858,1,3,EXTRAVIADA,ENCONTRADO,HOMBRE
3859,1,79,EXTRAVIADA,ENCONTRADO,HOMBRE
3860,4,33,EXTRAVIADA,ENCONTRADO,HOMBRE
3861,4,41,EXTRAVIADA,ENCONTRADO,HOMBRE
3862,4,40,EXTRAVIADA,ENCONTRADO,HOMBRE
3863,1,80,EXTRAVIADA,ENCONTRADO,HOMBRE
3864,4,75,EXTRAVIADA,ENCONTRADO,HOMBRE
3865,22,81,EXTRAVIADA,ENCONTRADO,HOMBRE
3866,4,39,EXTRAVIADA,ENCONTRADO,HOMBRE
3867,13,54,EXTRAVIADA,ENCONTRADO,HOMBRE
3868,1,5,EXTRAVIADA,ENCONTRADO,HOMBRE
3869,5,12,EXTRAVIADA,ENCONTRADO,MUJER
3870,4,14,EXTRAVIADA,ENCONTRADO,MUJER
3871,5,13,EXTRAVIADA,ENCONTRADO,MUJER
3872,4,58,EXTRAVIADA,ENCONTRADO,HOMBRE
3873,1,7,EXTRAVIADA,ENCONTRADO,HOMBRE
3874,4,48,EXTRAVIADA,ENCONTRADO,HOMBRE
3875,1,12,EXTRAVIADA,ENCONTRADO,HOMBRE
3876,4,57,EXTRAVIADA,ENCONTRADO,HOMBRE
3877,1,5,EXTRAVIADA,ENCONTRADO,HOMBRE
3878,4,42,EXTRAVIADA,ENCONTRADO,HOMBRE
3879,4,55,EXTRAVIADA,ENCONTRADO,HOMBRE
3880,1,26,EXTRAVIADA,ENCONTRADO,HOMBRE
3881,4,58,EXTRAVIADA,ENCONTRADO,HOMBRE
3882,4,27,EXTRAVIADA,ENCONTRADO,HOMBRE
3883,4,41,EXTRAVIADA,ENCONTRADO,HOMBRE
3884,4,26,EXTRAVIADA,ENCONTRADO,HOMBRE
3885,1,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3886,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3887,4,42,EXTRAVIADA,ENCONTRADO,HOMBRE
3888,5,13,EXTRAVIADA,ENCONTRADO,MUJER
3889,1,11,EXTRAVIADA,ENCONTRADO,HOMBRE
3890,6,69,EXTRAVIADA,ENCONTRADO,HOMBRE
3891,4,77,EXTRAVIADA,ENCONTRADO,HOMBRE
3892,22,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3893,4,13,EXTRAVIADA,ENCONTRADO,MUJER
3894,6,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3895,1,3,EXTRAVIADA,ENCONTRADO,HOMBRE
3896,8,72,EXTRAVIADA,ENCONTRADO,HOMBRE
3897,1,12,EXTRAVIADA,ENCONTRADO,MUJER
3898,4,31,EXTRAVIADA,ENCONTRADO,HOMBRE
3899,4,34,EXTRAVIADA,ENCONTRADO,HOMBRE
3900,4,44,EXTRAVIADA,ENCONTRADO,HOMBRE
3901,6,67,EXTRAVIADA,ENCONTRADO,HOMBRE
3902,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3903,4,41,EXTRAVIADA,ENCONTRADO,HOMBRE
3904,1,12,EXTRAVIADA,ENCONTRADO,HOMBRE
3905,6,74,EXTRAVIADA,ENCONTRADO,HOMBRE
3906,1,28,EXTRAVIADA,ENCONTRADO,HOMBRE
3907,4,58,EXTRAVIADA,ENCONTRADO,HOMBRE
3908,4,30,EXTRAVIADA,ENCONTRADO,HOMBRE
3909,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3910,1,5,EXTRAVIADA,ENCONTRADO,HOMBRE
3911,1,56,EXTRAVIADA,ENCONTRADO,HOMBRE
3912,1,6,EXTRAVIADA,ENCONTRADO,HOMBRE
3913,4,13,EXTRAVIADA,ENCONTRADO,MUJER
3914,6,53,EXTRAVIADA,ENCONTRADO,HOMBRE
3915,4,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3916,5,13,EXTRAVIADA,ENCONTRADO,MUJER
3917,4,44,EXTRAVIADA,ENCONTRADO,HOMBRE
3918,13,57,EXTRAVIADA,ENCONTRADO,HOMBRE
3919,4,13,EXTRAVIADA,ENCONTRADO,MUJER
3920,4,58,EXTRAVIADA,ENCONTRADO,HOMBRE
3921,11,12,EXTRAVIADA,ENCONTRADO,MUJER
3922,13,46,EXTRAVIADA,ENCONTRADO,HOMBRE
3923,22,77,EXTRAVIADA,ENCONTRADO,HOMBRE
3924,1,12,EXTRAVIADA,ENCONTRADO,MUJER
3925,4,54,EXTRAVIADA,ENCONTRADO,HOMBRE
3926,6,78,EXTRAVIADA,ENCONTRADO,HOMBRE
3927,4,41,EXTRAVIADA,ENCONTRADO,HOMBRE
3928,6,60,EXTRAVIADA,ENCONTRADO,HOMBRE
3929,4,44,EXTRAVIADA,ENCONTRADO,HOMBRE
3930,4,57,EXTRAVIADA,ENCONTRADO,HOMBRE
3931,1,25,EXTRAVIADA,ENCONTRADO,HOMBRE
3932,1,12,EXTRAVIADA,ENCONTRADO,HOMBRE
3933,1,61,EXTRAVIADA,ENCONTRADO,HOMBRE
3934,1,12,EXTRAVIADA,ENCONTRADO,MUJER
3935,4,41,EXTRAVIADA,ENCONTRADO,HOMBRE
3936,4,49,EXTRAVIADA,ENCONTRADO,HOMBRE
3937,4,43,EXTRAVIADA,ENCONTRADO,HOMBRE
3938,4,58,EXTRAVIADA,ENCONTRADO,HOMBRE
3939,6,55,EXTRAVIADA,ENCONTRADO,HOMBRE
3940,1,81,EXTRAVIADA,ENCONTRADO,HOMBRE
3941,11,12,EXTRAVIADA,ENCONTRADO,MUJER
3942,4,31,FALLECIDO,FALLECIDO,HOMBRE
3943,13,46,FALLECIDO,FALLECIDO,HOMBRE
3944,4,37,FALLECIDO,FALLECIDO,HOMBRE
3945,4,29,FALLECIDO,FALLECIDO,HOMBRE
3946,15,25,FALLECIDO,FALLECIDO,HOMBRE
3947,2,58,FALLECIDO,FALLECIDO,HOMBRE
3948,1,76,FALLECIDO,FALLECIDO,HOMBRE
3949,4,16,FALLECIDO,FALLECIDO,HOMBRE
3950,1,31,FALLECIDO,FALLECIDO,HOMBRE
3951,4,37,FALLECIDO,FALLECIDO,HOMBRE
3952,4,27,FALLECIDO,FALLECIDO,HOMBRE
3953,4,32,FALLECIDO,FALLECIDO,HOMBRE
3954,1,30,FALLECIDO,FALLECIDO,HOMBRE
3955,1,30,FALLECIDO,FALLECIDO,HOMBRE
3956,4,32,FALLECIDO,FALLECIDO,HOMBRE
3957,3,22,FALLECIDO,FALLECIDO,HOMBRE
3958,1,88,FALLECIDO,FALLECIDO,HOMBRE
3959,4,81,FALLECIDO,FALLECIDO,HOMBRE
3960,4,52,FALLECIDO,FALLECIDO,HOMBRE
3961,4,29,FALLECIDO,FALLECIDO,HOMBRE
3962,1,28,FALLECIDO,FALLECIDO,HOMBRE
3963,4,33,FALLECIDO,FALLECIDO,HOMBRE
3964,4,32,FALLECIDO,FALLECIDO,HOMBRE
3965,4,38,FALLECIDO,FALLECIDO,HOMBRE
3966,4,38,FALLECIDO,FALLECIDO,HOMBRE
3967,4,25,FALLECIDO,FALLECIDO,HOMBRE
3968,4,23,FALLECIDO,FALLECIDO,HOMBRE
3969,3,31,FALLECIDO,FALLECIDO,HOMBRE
3970,4,41,FALLECIDO,FALLECIDO,HOMBRE
3971,4,47,FALLECIDO,FALLECIDO,HOMBRE
3972,3,31,FALLECIDO,FALLECIDO,HOMBRE
3973,17,58,FALLECIDO,FALLECIDO,HOMBRE
3974,4,23,FALLECIDO,FALLECIDO,HOMBRE
3975,4,32,FALLECIDO,FALLECIDO,HOMBRE
3976,1,30,FALLECIDO,FALLECIDO,HOMBRE
3977,4,27,FALLECIDO,FALLECIDO,HOMBRE
3978,4,18,FALLECIDO,FALLECIDO,HOMBRE
3979,4,33,FALLECIDO,FALLECIDO,HOMBRE
3980,1,88,FALLECIDO,FALLECIDO,HOMBRE
3981,4,33,FALLECIDO,FALLECIDO,HOMBRE
3982,4,29,FALLECIDO,FALLECIDO,HOMBRE
3983,4,28,FALLECIDO,FALLECIDO,HOMBRE
3984,4,76,FALLECIDO,FALLECIDO,HOMBRE
3985,4,35,FALLECIDO,FALLECIDO,HOMBRE
3986,4,35,FALLECIDO,FALLECIDO,HOMBRE
3987,4,34,FALLECIDO,FALLECIDO,HOMBRE
3988,3,19,FALLECIDO,FALLECIDO,HOMBRE
3989,4,38,FALLECIDO,FALLECIDO,HOMBRE
3990,4,16,FALLECIDO,FALLECIDO,HOMBRE
3991,4,28,FALLECIDO,FALLECIDO,HOMBRE
3992,4,55,FALLECIDO,FALLECIDO,HOMBRE
3993,4,29,FALLECIDO,FALLECIDO,HOMBRE
3994,6,31,FALLECIDO,FALLECIDO,HOMBRE
3995,4,29,FALLECIDO,FALLECIDO,HOMBRE
3996,4,23,FALLECIDO,FALLECIDO,HOMBRE
3997,4,29,FALLECIDO,FALLECIDO,HOMBRE
3998,4,27,FALLECIDO,FALLECIDO,HOMBRE
3999,4,37,FALLECIDO,FALLECIDO,HOMBRE
4000,4,23,FALLECIDO,FALLECIDO,HOMBRE
4001,4,17,FALLECIDO,FALLECIDO,HOMBRE
4002,4,38,FALLECIDO,FALLECIDO,HOMBRE
4003,4,54,FALLECIDO,FALLECIDO,HOMBRE
4004,4,55,FALLECIDO,FALLECIDO,HOMBRE
4005,3,22,FALLECIDO,FALLECIDO,HOMBRE
4006,4,24,FALLECIDO,FALLECIDO,HOMBRE
4007,4,27,FALLECIDO,FALLECIDO,HOMBRE
4008,4,45,FALLECIDO,FALLECIDO,HOMBRE
4009,4,61,FALLECIDO,FALLECIDO,HOMBRE
4010,4,22,FALLECIDO,FALLECIDO,HOMBRE
4011,4,45,FALLECIDO,FALLECIDO,HOMBRE
4012,4,80,FALLECIDO,FALLECIDO,HOMBRE
4013,1,80,FALLECIDO,FALLECIDO,HOMBRE
4014,4,38,FALLECIDO,FALLECIDO,HOMBRE
4015,4,55,FALLECIDO,FALLECIDO,HOMBRE
4016,4,33,FALLECIDO,FALLECIDO,HOMBRE
4017,4,45,FALLECIDO,FALLECIDO,HOMBRE
4018,3,22,FALLECIDO,FALLECIDO,HOMBRE
4019,4,23,FALLECIDO,FALLECIDO,HOMBRE
4020,4,35,FALLECIDO,FALLECIDO,HOMBRE
4021,4,38,FALLECIDO,FALLECIDO,HOMBRE
4022,4,53,FALLECIDO,FALLECIDO,HOMBRE
